|1x3 Cross validator
14, 8, 350, 165, 4209, 12, 1972, chevrolet, US.
31.9, 4, 89, 71, 1925, 14, 1980, vw, Europe.
17, 8, 302, 140, 3449, 11, 1971, ford, US.
15, 8, 400, 150, 3761, 10, 1971, chevrolet, US.
30.5, 4, 98, 63, 2051, 17, 1978, chevrolet, US.
23, 8, 350, 125, 3900, 17, 1980, cadillac, US.
13, 8, 351, 158, 4363, 13, 1974, ford, US.
14, 8, 440, 215, 4312, 9, 1971, plymouth, US.
25.4, 5, 183, 77, 3530, 20, 1980, mercedes, Europe.
37.7, 4, 89, 62, 2050, 17, 1982, toyota, Japan.
34, 4, 108, 70, 2245, 17, 1983, toyota, Japan.
34.3, 4, 97, 78, 2188, 16, 1981, audi, Europe.
16, 8, 302, 140, 4141, 14, 1975, ford, US.
11, 8, 350, 180, 3664, 11, 1974, oldsmobile, US.
19.1, 6, 225, 90, 3381, 19, 1981, dodge, US.
16.9, 8, 350, 155, 4360, 15, 1980, buick, US.
31.8, 4, 85, 65, 2020, 19, 1980, datsun, Japan.
16, 8, 304, 150, 3433, 12, 1971, amc, US.
24, 4, 113, 95, 2278, 16, 1973, toyota, Japan.
24, 4, 107, 90, 2430, 15, 1971, audi, Europe.
37.2, 4, 86, 65, 2019, 16, 1981, datsun, Japan.
21.5, 4, 121, 110, 2600, 13, 1978, bmw, Europe.
24, 6, 200, 81, 3012, 18, 1977, ford, US.
15.5, 8, 351, 142, 4054, 14, 1980, ford, US.
38.1, 4, 89, 60, 1968, 19, 1981, toyota, Japan.
33, 4, 91, 53, 1795, 17, 1977, honda, Japan.
31, 4, 71, 65, 1773, 19, 1972, toyota, Japan.
14, 8, 351, 148, 4657, 14, 1976, ford, US.
18, 6, 250, 78, 3574, 21, 1977, ford, US.
29.9, 4, 98, 65, 2380, 21, 1982, ford, US.
27, 4, 97, 88, 2130, 15, 1971, datsun, Japan.
16, 6, 250, 100, 3278, 18, 1974, chevrolet, US.
23, 4, 120, 97, 2506, 15, 1973, toyota, Japan.
21, 6, 199, 90, 2648, 15, 1971, amc, US.
