|1x3 Cross validator
less-200DM, 18, critical, new-car, 1056, less100DM, over-seven, 3, single-male, guarantor, 3, real-estate, 30, bank, own, 2, skilled, 1, yes, yes, bad.
over-200DM, 36, duly-till-now, radio-tv, 3913, less100DM, four-years, 2, single-male, none, 2, real-estate, 23, none, own, 1, skilled, 1, no, yes, good.
no-account, 21, critical, new-car, 12680, unknown, over-seven, 4, single-male, none, 4, none, 30, none, free, 1, management, 1, no, yes, bad.
0DM, 12, critical, used-car, 1526, less100DM, over-seven, 4, single-male, none, 4, none, 66, none, free, 2, management, 1, yes, yes, good.
no-account, 36, delay, radio-tv, 4463, less100DM, four-years, 4, single-male, none, 2, car, 26, none, own, 2, management, 1, no, yes, bad.
no-account, 30, critical, radio-tv, 2831, less100DM, four-years, 4, female-divorced, none, 2, car, 33, none, own, 1, skilled, 1, no, yes, good.
no-account, 24, duly-till-now, radio-tv, 999, unknown, over-seven, 4, single-male, none, 2, car, 25, none, own, 2, skilled, 1, yes, yes, good.
no-account, 24, duly-till-now, radio-tv, 1376, less1000DM, seven-years, 4, female-divorced, none, 1, car, 28, none, own, 1, skilled, 1, yes, yes, good.
0DM, 11, critical, new-car, 3905, less100DM, four-years, 2, single-male, none, 2, real-estate, 36, none, rent, 2, skilled, 2, yes, yes, good.
less-200DM, 18, duly-till-now, business, 1913, over1000DM, one-year, 3, married-male, none, 3, real-estate, 36, bank, own, 1, skilled, 1, no, yes, good.
no-account, 18, critical, radio-tv, 2404, less100DM, four-years, 2, female-divorced, none, 2, car, 26, none, own, 2, skilled, 1, yes, yes, good.
0DM, 36, critical, used-car, 9629, less100DM, seven-years, 4, single-male, none, 4, car, 24, none, own, 2, skilled, 1, no, yes, bad.
no-account, 6, duly-till-now, furniture, 4611, less100DM, one-year, 1, female-divorced, none, 4, building-society, 32, none, own, 1, skilled, 1, yes, yes, bad.
0DM, 18, critical, radio-tv, 1880, less100DM, seven-years, 4, married-male, none, 1, building-society, 32, none, own, 2, management, 1, no, yes, good.
less-200DM, 30, critical, new-car, 5234, less100DM, unemployed, 4, married-male, none, 2, car, 28, none, own, 2, management, 1, yes, yes, bad.
0DM, 6, duly-till-now, new-car, 14896, less100DM, over-seven, 1, single-male, none, 4, none, 68, bank, own, 1, management, 1, no, yes, bad.
no-account, 10, duly-till-now, furniture, 2210, less100DM, four-years, 2, single-male, none, 2, real-estate, 25, bank, rent, 1, unskilled-resident, 1, yes, yes, bad.
no-account, 9, critical, education, 936, less1000DM, over-seven, 4, single-male, none, 2, car, 52, none, own, 2, skilled, 1, no, yes, good.
no-account, 12, duly-till-now, used-car, 2445, unknown, one-year, 2, married-male, none, 4, car, 26, none, rent, 1, skilled, 1, no, yes, good.
0DM, 42, critical, repairs, 3394, less100DM, unemployed, 4, single-male, co-applicant, 4, car, 65, none, own, 2, unemployed-non-resident, 1, yes, yes, good.
0DM, 18, duly-till-now, furniture, 2462, less100DM, four-years, 2, single-male, none, 2, car, 22, none, own, 1, skilled, 1, yes, yes, bad.
0DM, 12, duly-till-now, new-car, 1372, less100DM, seven-years, 2, male-divorced, none, 3, car, 36, none, own, 1, skilled, 1, yes, yes, bad.
less-200DM, 18, critical, business, 3590, less100DM, unemployed, 3, married-male, none, 3, car, 40, none, own, 3, unemployed-non-resident, 2, no, yes, good.
0DM, 12, duly-till-now, education, 795, less100DM, one-year, 4, female-divorced, none, 4, building-society, 53, none, own, 1, skilled, 1, yes, yes, bad.
0DM, 42, duly-till-now, furniture, 7882, less100DM, seven-years, 2, single-male, guarantor, 4, building-society, 45, none, free, 1, skilled, 2, yes, yes, good.
no-account, 24, critical, education, 1597, less100DM, over-seven, 4, single-male, none, 4, none, 54, none, free, 2, skilled, 2, yes, yes, good.
no-account, 18, critical, new-car, 1530, less100DM, four-years, 3, single-male, none, 2, building-society, 32, bank, own, 2, skilled, 1, yes, yes, bad.
no-account, 12, duly-till-now, radio-tv, 3059, over1000DM, seven-years, 2, male-divorced, none, 4, real-estate, 61, none, own, 1, unskilled-resident, 1, yes, yes, good.
0DM, 12, critical, new-car, 2171, less100DM, four-years, 4, single-male, none, 4, building-society, 38, bank, own, 2, unskilled-resident, 1, yes, no, good.
less-200DM, 18, duly-till-now, education, 1239, unknown, four-years, 4, single-male, none, 4, none, 61, none, free, 1, skilled, 1, yes, yes, good.
0DM, 21, duly-till-now, furniture, 3599, less100DM, seven-years, 1, female-divorced, none, 4, car, 26, none, rent, 1, unskilled-resident, 1, yes, yes, good.
no-account, 21, duly-till-now, used-car, 2476, unknown, over-seven, 4, single-male, none, 4, real-estate, 46, none, own, 1, management, 1, no, yes, good.
over-200DM, 30, critical, radio-tv, 3656, unknown, over-seven, 4, single-male, none, 4, building-society, 49, stores, own, 2, unskilled-resident, 1, yes, yes, good.
less-200DM, 18, duly-till-now, radio-tv, 1113, less100DM, four-years, 4, female-divorced, guarantor, 4, real-estate, 26, none, own, 1, unskilled-resident, 2, yes, yes, good.
no-account, 12, duly-till-now, radio-tv, 2141, less500DM, seven-years, 3, single-male, none, 1, none, 35, none, own, 1, skilled, 1, yes, yes, good.
0DM, 24, duly-till-now, used-car, 6579, less100DM, unemployed, 4, single-male, none, 2, none, 29, none, free, 1, management, 1, no, yes, good.
no-account, 15, critical, radio-tv, 1471, less100DM, four-years, 4, single-male, none, 4, none, 35, none, free, 2, skilled, 1, no, yes, good.
0DM, 24, duly-till-now, radio-tv, 1603, less100DM, over-seven, 4, female-divorced, none, 4, car, 55, none, own, 1, skilled, 1, yes, yes, good.
less-200DM, 36, delay, business, 9857, less500DM, seven-years, 1, single-male, none, 3, building-society, 31, none, own, 2, unskilled-resident, 2, no, yes, good.
over-200DM, 24, critical, furniture, 3617, unknown, over-seven, 4, single-male, co-applicant, 4, none, 20, none, rent, 2, skilled, 1, yes, yes, good.
0DM, 40, critical, education, 5998, less100DM, four-years, 4, single-male, none, 3, none, 27, bank, own, 1, skilled, 1, no, yes, bad.
no-account, 18, critical, used-car, 3229, unknown, unemployed, 2, single-male, none, 4, none, 38, none, own, 1, management, 1, no, yes, good.
less-200DM, 24, delay, radio-tv, 1553, less500DM, seven-years, 3, female-divorced, none, 2, building-society, 23, none, rent, 2, skilled, 1, no, yes, good.
0DM, 24, critical, radio-tv, 1231, over1000DM, over-seven, 4, female-divorced, none, 4, building-society, 57, none, rent, 2, management, 1, no, yes, good.
less-200DM, 36, all-paid-duly, radio-tv, 3804, less100DM, four-years, 4, female-divorced, none, 1, car, 42, none, own, 1, skilled, 1, no, yes, bad.
over-200DM, 12, bank-paid-duly, business, 609, less100DM, one-year, 4, female-divorced, none, 1, real-estate, 26, none, own, 1, unemployed-non-resident, 1, yes, yes, bad.
less-200DM, 9, duly-till-now, new-car, 3195, unknown, four-years, 1, female-divorced, none, 2, real-estate, 33, none, own, 1, unskilled-resident, 1, yes, yes, good.
no-account, 12, critical, new-car, 1495, less100DM, over-seven, 4, single-male, none, 1, real-estate, 38, none, own, 2, unskilled-resident, 2, yes, yes, good.
0DM, 24, duly-till-now, used-car, 2812, unknown, over-seven, 2, female-divorced, none, 4, real-estate, 26, none, rent, 1, skilled, 1, yes, yes, good.
less-200DM, 10, duly-till-now, furniture, 1521, less100DM, four-years, 4, male-divorced, none, 2, car, 31, none, own, 1, unskilled-resident, 1, yes, yes, good.
over-200DM, 10, critical, radio-tv, 1347, unknown, seven-years, 4, single-male, none, 2, building-society, 27, none, own, 2, skilled, 1, no, yes, good.
0DM, 6, critical, radio-tv, 1957, less100DM, seven-years, 1, female-divorced, none, 4, car, 31, none, own, 1, skilled, 1, yes, yes, good.
less-200DM, 12, critical, domestic-app, 1424, less100DM, seven-years, 4, single-male, none, 3, building-society, 26, none, own, 1, skilled, 1, yes, yes, good.
no-account, 12, duly-till-now, education, 719, less100DM, over-seven, 4, single-male, none, 4, car, 41, bank, own, 1, unskilled-resident, 2, yes, yes, bad.
0DM, 36, duly-till-now, furniture, 3446, less100DM, over-seven, 4, single-male, none, 2, car, 42, none, own, 1, skilled, 2, yes, yes, bad.
less-200DM, 18, critical, furniture, 1928, less100DM, one-year, 2, single-male, none, 2, real-estate, 31, none, own, 2, unskilled-resident, 1, yes, yes, bad.
no-account, 30, duly-till-now, radio-tv, 1867, unknown, over-seven, 4, single-male, none, 4, car, 58, none, own, 1, skilled, 1, no, yes, good.
less-200DM, 12, duly-till-now, furniture, 2762, unknown, over-seven, 1, female-divorced, none, 2, building-society, 25, bank, own, 1, skilled, 1, no, yes, bad.
