|Discretization into bins of size 0
5\.85-Inf, 3\.05-Inf, 2\.6-4\.85, 0\.75-1\.65, Iris-versicolor.
5\.45-5\.85, 3\.05-Inf, -Inf-2\.6, -Inf-0\.75, Iris-setosa.
5\.85-Inf, 3\.05-Inf, 4\.85-Inf, 1\.65-Inf, Iris-virginica.
5\.85-Inf, -Inf-3\.05, 2\.6-4\.85, 0\.75-1\.65, Iris-versicolor.
-Inf-5\.45, 3\.05-Inf, -Inf-2\.6, -Inf-0\.75, Iris-setosa.
5\.85-Inf, -Inf-3\.05, 2\.6-4\.85, 0\.75-1\.65, Iris-versicolor.
5\.85-Inf, 3\.05-Inf, 4\.85-Inf, 1\.65-Inf, Iris-virginica.
-Inf-5\.45, -Inf-3\.05, -Inf-2\.6, -Inf-0\.75, Iris-setosa.
-Inf-5\.45, 3\.05-Inf, -Inf-2\.6, -Inf-0\.75, Iris-setosa.
-Inf-5\.45, 3\.05-Inf, -Inf-2\.6, -Inf-0\.75, Iris-setosa.
5\.85-Inf, -Inf-3\.05, 4\.85-Inf, 0\.75-1\.65, Iris-virginica.
5\.45-5\.85, 3\.05-Inf, -Inf-2\.6, -Inf-0\.75, Iris-setosa.
5\.45-5\.85, -Inf-3\.05, 2\.6-4\.85, 0\.75-1\.65, Iris-versicolor.
5\.45-5\.85, -Inf-3\.05, 2\.6-4\.85, 0\.75-1\.65, Iris-versicolor.
5\.85-Inf, -Inf-3\.05, 4\.85-Inf, 1\.65-Inf, Iris-virginica.
-Inf-5\.45, 3\.05-Inf, -Inf-2\.6, -Inf-0\.75, Iris-setosa.
5\.85-Inf, -Inf-3\.05, 2\.6-4\.85, 0\.75-1\.65, Iris-versicolor.
5\.45-5\.85, -Inf-3\.05, 2\.6-4\.85, 0\.75-1\.65, Iris-versicolor.
-Inf-5\.45, 3\.05-Inf, -Inf-2\.6, -Inf-0\.75, Iris-setosa.
5\.45-5\.85, 3\.05-Inf, -Inf-2\.6, -Inf-0\.75, Iris-setosa.
5\.85-Inf, 3\.05-Inf, 4\.85-Inf, 1\.65-Inf, Iris-virginica.
-Inf-5\.45, 3\.05-Inf, -Inf-2\.6, -Inf-0\.75, Iris-setosa.
5\.85-Inf, -Inf-3\.05, 4\.85-Inf, 1\.65-Inf, Iris-virginica.
5\.85-Inf, -Inf-3\.05, 4\.85-Inf, 1\.65-Inf, Iris-virginica.
