?, square, ?, flag, ?, no, yes.
square, round, ?, sword, blue, yes, no.
?, octagon, yes, ?, blue, no, no.
square, round, ?, ?, ?, no, yes.
?, octagon, no, sword, ?, no, no.
?, round, no, ?, green, ?, yes.
round, ?, yes, balloon, green, no, no.
round, ?, no, ?, ?, yes, yes.
round, square, no, sword, green, ?, no.
round, ?, no, flag, red, no, yes.
square, ?, no, balloon, blue, no, no.
round, square, ?, flag, ?, yes, yes.
?, round, no, balloon, ?, yes, yes.
round, ?, yes, balloon, green, ?, yes.
octagon, square, ?, flag, ?, no, no.
round, octagon, yes, balloon, yellow, ?, no.
round, ?, yes, flag, ?, ?, no.
octagon, square, no, balloon, green, yes, no.
?, round, yes, sword, yellow, no, no.
?, square, ?, balloon, ?, yes, yes.
square, round, yes, balloon, ?, yes, no.
round, ?, ?, sword, green, no, no.
square, octagon, yes, ?, green, no, no.
square, ?, ?, sword, blue, no, yes.
round, octagon, no, flag, ?, no, no.
?, square, yes, ?, yellow, ?, no.
?, square, ?, sword, red, ?, yes.
?, ?, ?, flag, blue, yes, yes.
octagon, octagon, ?, ?, blue, ?, yes.
octagon, octagon, yes, balloon, red, yes, yes.
round, round, ?, sword, ?, no, yes.
round, octagon, yes, flag, red, no, yes.
octagon, octagon, no, balloon, ?, no, yes.
round, square, yes, sword, ?, no, no.
octagon, square, no, sword, ?, no, no.
octagon, round, ?, sword, green, yes, no.
round, octagon, yes, flag, yellow, yes, no.
octagon, ?, yes, flag, blue, ?, no.
square, octagon, ?, balloon, ?, yes, yes.
?, ?, no, flag, blue, no, no.
square, round, yes, balloon, green, no, no.
octagon, ?, yes, sword, red, no, yes.
square, ?, ?, ?, ?, no, yes.
round, octagon, yes, balloon, blue, ?, no.
octagon, ?, no, flag, yellow, yes, no.
?, square, yes, flag, green, yes, yes.
round, octagon, ?, sword, red, ?, yes.
round, octagon, yes, ?, ?, ?, no.
square, round, ?, ?, green, ?, no.
?, ?, no, flag, yellow, no, yes.
square, square, ?, ?, red, no, yes.
?, octagon, ?, ?, red, ?, yes.
octagon, square, yes, flag, yellow, ?, no.
square, square, yes, balloon, ?, ?, yes.
round, round, ?, ?, blue, ?, yes.
square, ?, yes, ?, ?, yes, yes.
square, round, yes, ?, red, ?, yes.
?, round, yes, ?, ?, no, yes.
?, octagon, yes, ?, blue, no, no.
octagon, round, ?, balloon, yellow, yes, no.
octagon, square, yes, ?, blue, ?, no.
round, octagon, yes, ?, ?, yes, no.
octagon, octagon, yes, flag, blue, ?, yes.
square, square, yes, sword, yellow, no, yes.
?, ?, no, ?, ?, no, yes.
?, round, ?, ?, ?, yes, no.
?, square, yes, ?, green, yes, no.
octagon, square, no, sword, ?, no, yes.
square, square, yes, flag, ?, ?, yes.
octagon, octagon, no, balloon, ?, yes, yes.
round, ?, no, sword, red, no, yes.
square, octagon, no, ?, red, ?, yes.
octagon, round, yes, ?, ?, ?, yes.
square, square, no, sword, red, yes, yes.
round, ?, no, flag, yellow, ?, no.
square, ?, ?, ?, blue, no, yes.
octagon, ?, ?, balloon, red, no, yes.
?, ?, yes, ?, ?, yes, no.
square, octagon, ?, flag, green, no, no.
?, octagon, ?, flag, blue, yes, no.
octagon, ?, no, ?, green, ?, no.
square, ?, no, flag, red, yes, yes.
square, round, yes, sword, green, ?, no.
octagon, ?, ?, flag, green, ?, no.
octagon, ?, yes, flag, red, yes, yes.
octagon, round, yes, ?, blue, yes, no.
?, ?, ?, sword, blue, ?, no.
octagon, round, ?, balloon, ?, yes, no.
round, octagon, yes, sword, blue, ?, no.
octagon, square, no, sword, blue, yes, no.
octagon, round, yes, ?, yellow, ?, no.
square, ?, yes, balloon, red, ?, yes.
square, round, yes, ?, green, no, no.
octagon, ?, ?, balloon, ?, no, yes.
square, ?, yes, flag, green, no, yes.
octagon, octagon, no, balloon, yellow, ?, yes.
square, ?, no, balloon, red, yes, yes.
?, ?, ?, balloon, ?, yes, yes.
?, ?, yes, balloon, ?, no, yes.
round, octagon, yes, ?, blue, yes, no.
octagon, square, yes, ?, blue, no, no.
round, round, yes, ?, ?, no, yes.
?, square, no, ?, ?, no, yes.
round, ?, ?, ?, yellow, no, no.
square, round, yes, flag, blue, no, no.
octagon, ?, ?, ?, ?, ?, yes.
round, ?, no, balloon, ?, no, no.
round, ?, yes, ?, green, yes, no.
