round, round, yes, sword, green, yes, yes.
round, round, yes, sword, green, no, yes.
round, round, yes, flag, yellow, yes, yes.
round, round, yes, flag, green, no, yes.
round, round, no, sword, yellow, yes, yes.
round, round, no, sword, yellow, no, yes.
round, round, no, balloon, green, yes, yes.
round, round, no, balloon, blue, yes, yes.
round, round, no, flag, red, no, yes.
round, square, yes, sword, red, no, yes.
round, square, yes, sword, yellow, yes, no.
round, square, yes, sword, green, yes, no.
round, square, yes, sword, blue, no, no.
round, square, yes, balloon, red, yes, yes.
round, square, yes, balloon, green, yes, no.
round, square, yes, balloon, green, no, no.
round, square, yes, balloon, blue, no, no.
round, square, yes, flag, yellow, yes, no.
round, square, yes, flag, blue, no, no.
round, square, no, sword, yellow, no, no.
round, square, no, balloon, green, no, no.
round, square, no, balloon, blue, yes, no.
round, square, no, balloon, blue, no, no.
round, square, no, flag, yellow, no, no.
round, square, no, flag, green, yes, no.
round, square, no, flag, green, no, no.
round, octagon, yes, sword, yellow, yes, no.
round, octagon, yes, sword, blue, yes, no.
round, octagon, yes, balloon, yellow, yes, no.
round, octagon, yes, balloon, blue, yes, no.
round, octagon, yes, flag, red, no, yes.
round, octagon, yes, flag, yellow, no, no.
round, octagon, yes, flag, green, yes, no.
round, octagon, yes, flag, blue, yes, no.
round, octagon, yes, flag, blue, no, no.
round, octagon, no, sword, yellow, no, no.
round, octagon, no, balloon, red, no, yes.
round, octagon, no, balloon, yellow, no, no.
round, octagon, no, balloon, green, no, no.
round, octagon, no, balloon, blue, yes, no.
round, octagon, no, balloon, blue, no, no.
round, octagon, no, flag, red, yes, yes.
round, octagon, no, flag, yellow, yes, no.
round, octagon, no, flag, blue, yes, no.
round, octagon, no, flag, blue, no, no.
square, round, yes, sword, green, yes, no.
square, round, yes, sword, green, no, no.
square, round, yes, balloon, red, yes, yes.
square, round, yes, balloon, red, no, yes.
square, round, yes, balloon, yellow, no, no.
square, round, yes, balloon, green, yes, no.
square, round, yes, balloon, blue, yes, no.
square, round, yes, balloon, blue, no, no.
square, round, yes, flag, blue, yes, no.
square, round, no, sword, yellow, no, no.
square, round, no, sword, green, yes, no.
square, round, no, sword, blue, no, no.
square, round, no, balloon, green, yes, no.
square, round, no, balloon, blue, no, no.
square, round, no, flag, yellow, no, no.
square, round, no, flag, blue, yes, no.
square, square, yes, sword, yellow, yes, yes.
square, square, yes, sword, yellow, no, yes.
square, square, yes, sword, green, yes, yes.
square, square, yes, balloon, green, no, yes.
square, square, yes, flag, red, yes, yes.
square, square, yes, flag, red, no, yes.
square, square, yes, flag, yellow, no, yes.
square, square, yes, flag, green, no, yes.
square, square, yes, flag, blue, no, yes.
square, square, no, sword, red, yes, yes.
square, square, no, sword, green, no, yes.
square, square, no, sword, blue, yes, yes.
square, square, no, sword, blue, no, yes.
square, square, no, balloon, yellow, yes, yes.
square, square, no, flag, blue, yes, yes.
square, octagon, yes, sword, red, yes, yes.
square, octagon, yes, balloon, red, yes, yes.
square, octagon, yes, balloon, green, yes, no.
square, octagon, yes, flag, red, no, yes.
square, octagon, yes, flag, green, yes, no.
square, octagon, yes, flag, blue, no, no.
square, octagon, no, sword, green, no, no.
square, octagon, no, balloon, red, yes, yes.
square, octagon, no, balloon, red, no, yes.
square, octagon, no, balloon, yellow, yes, no.
square, octagon, no, flag, green, no, no.
octagon, round, yes, sword, red, yes, yes.
octagon, round, yes, sword, red, no, yes.
octagon, round, yes, balloon, red, yes, yes.
octagon, round, yes, balloon, yellow, no, no.
octagon, round, yes, flag, yellow, no, no.
octagon, round, no, sword, red, yes, yes.
octagon, round, no, sword, yellow, no, no.
octagon, round, no, balloon, yellow, no, no.
octagon, round, no, balloon, green, no, no.
octagon, round, no, flag, yellow, no, no.
octagon, square, yes, sword, red, yes, yes.
octagon, square, yes, sword, blue, no, no.
octagon, square, yes, balloon, red, no, yes.
octagon, square, yes, balloon, blue, no, no.
octagon, square, no, sword, red, yes, yes.
octagon, square, no, sword, red, no, yes.
octagon, square, no, sword, green, no, no.
octagon, square, no, flag, red, yes, yes.
octagon, square, no, flag, yellow, yes, no.
octagon, square, no, flag, blue, yes, no.
octagon, octagon, yes, sword, red, yes, yes.
octagon, octagon, yes, sword, yellow, yes, yes.
octagon, octagon, yes, sword, blue, no, yes.
octagon, octagon, yes, balloon, green, no, yes.
octagon, octagon, yes, balloon, blue, no, yes.
octagon, octagon, yes, flag, red, no, yes.
octagon, octagon, yes, flag, yellow, yes, yes.
octagon, octagon, yes, flag, yellow, no, yes.
octagon, octagon, yes, flag, blue, no, yes.
octagon, octagon, no, sword, red, yes, yes.
octagon, octagon, no, sword, green, no, yes.
octagon, octagon, no, sword, blue, yes, yes.
octagon, octagon, no, sword, blue, no, yes.
octagon, octagon, no, flag, red, no, yes.
octagon, octagon, no, flag, yellow, no, yes.
octagon, octagon, no, flag, green, no, yes.
octagon, octagon, no, flag, blue, no, yes.
