round, round, yes, sword, red, no, yes.
round, round, yes, sword, yellow, yes, yes.
round, round, yes, sword, yellow, no, yes.
round, round, yes, sword, green, yes, no.
round, round, yes, sword, blue, yes, no.
round, round, yes, balloon, red, yes, yes.
round, round, yes, balloon, yellow, no, yes.
round, round, yes, balloon, blue, no, no.
round, round, no, sword, yellow, no, yes.
round, round, no, sword, blue, no, no.
round, round, no, balloon, yellow, no, yes.
round, round, no, balloon, blue, yes, no.
round, round, no, balloon, blue, no, no.
round, round, no, flag, red, yes, yes.
round, round, no, flag, red, no, yes.
round, round, no, flag, green, yes, yes.
round, round, no, flag, green, no, yes.
round, square, yes, sword, green, yes, yes.
round, square, yes, balloon, yellow, yes, yes.
round, square, yes, balloon, yellow, no, yes.
round, square, yes, balloon, green, yes, no.
round, square, yes, flag, red, yes, yes.
round, square, yes, flag, red, no, yes.
round, square, yes, flag, yellow, yes, yes.
round, square, yes, flag, yellow, no, yes.
round, square, yes, flag, green, no, yes.
round, square, yes, flag, blue, yes, no.
round, square, no, sword, green, yes, yes.
round, square, no, sword, blue, no, no.
round, square, no, balloon, red, yes, yes.
round, square, no, balloon, yellow, yes, yes.
round, square, no, balloon, yellow, no, yes.
round, square, no, flag, red, yes, yes.
round, square, no, flag, yellow, yes, yes.
round, square, no, flag, yellow, no, yes.
round, octagon, yes, sword, yellow, yes, no.
round, octagon, yes, sword, blue, yes, no.
round, octagon, yes, balloon, green, no, no.
round, octagon, yes, balloon, blue, yes, no.
round, octagon, yes, flag, red, yes, no.
round, octagon, yes, flag, green, yes, no.
round, octagon, no, sword, red, yes, no.
round, octagon, no, sword, red, no, no.
round, octagon, no, sword, yellow, yes, no.
round, octagon, no, sword, blue, no, no.
round, octagon, no, balloon, green, no, no.
round, octagon, no, balloon, blue, no, no.
round, octagon, no, flag, blue, yes, no.
square, round, yes, sword, red, yes, yes.
square, round, yes, sword, red, no, yes.
square, round, yes, sword, blue, yes, no.
square, round, yes, sword, blue, no, no.
square, round, yes, balloon, red, yes, yes.
square, round, yes, balloon, red, no, yes.
square, round, yes, flag, yellow, no, yes.
square, round, yes, flag, green, no, yes.
square, round, yes, flag, blue, yes, no.
square, round, no, sword, yellow, no, yes.
square, round, no, balloon, blue, yes, no.
square, round, no, flag, red, no, yes.
square, square, yes, sword, green, no, yes.
square, square, yes, sword, blue, no, no.
square, square, yes, balloon, red, no, yes.
square, square, yes, balloon, yellow, yes, no.
square, square, yes, flag, red, yes, yes.
square, square, yes, flag, yellow, no, yes.
square, square, yes, flag, green, yes, no.
square, square, yes, flag, green, no, no.
square, square, yes, flag, blue, no, no.
square, square, no, sword, yellow, no, yes.
square, square, no, balloon, red, no, yes.
square, square, no, balloon, green, yes, yes.
square, square, no, balloon, green, no, yes.
square, square, no, flag, blue, yes, no.
square, octagon, yes, sword, green, yes, yes.
square, octagon, yes, balloon, red, yes, no.
square, octagon, yes, balloon, yellow, yes, no.
square, octagon, yes, balloon, yellow, no, no.
square, octagon, yes, balloon, green, no, no.
square, octagon, yes, flag, green, yes, no.
square, octagon, no, sword, red, no, no.
square, octagon, no, sword, yellow, no, no.
square, octagon, no, sword, blue, yes, no.
square, octagon, no, balloon, green, yes, no.
square, octagon, no, balloon, blue, no, no.
square, octagon, no, flag, red, yes, no.
square, octagon, no, flag, yellow, yes, no.
square, octagon, no, flag, blue, no, no.
octagon, round, yes, sword, red, yes, yes.
octagon, round, yes, sword, yellow, yes, yes.
octagon, round, yes, sword, green, yes, yes.
octagon, round, yes, balloon, blue, no, no.
octagon, round, yes, flag, red, no, yes.
octagon, round, yes, flag, blue, no, no.
octagon, round, no, sword, yellow, yes, yes.
octagon, round, no, balloon, green, no, yes.
octagon, round, no, balloon, blue, no, no.
octagon, round, no, flag, red, yes, yes.
octagon, square, yes, sword, yellow, no, yes.
octagon, square, yes, sword, blue, yes, no.
octagon, square, yes, balloon, green, yes, yes.
octagon, square, yes, flag, red, no, yes.
octagon, square, no, sword, yellow, no, yes.
octagon, square, no, sword, green, no, yes.
octagon, square, no, balloon, red, no, yes.
octagon, square, no, flag, red, yes, yes.
octagon, square, no, flag, green, no, yes.
octagon, square, no, flag, blue, yes, no.
octagon, octagon, yes, sword, green, no, yes.
octagon, octagon, yes, sword, blue, yes, yes.
octagon, octagon, yes, balloon, blue, no, no.
octagon, octagon, yes, flag, red, yes, no.
octagon, octagon, yes, flag, yellow, yes, no.
octagon, octagon, yes, flag, yellow, no, no.
octagon, octagon, yes, flag, blue, yes, no.
octagon, octagon, no, sword, red, yes, no.
octagon, octagon, no, sword, red, no, no.
octagon, octagon, no, balloon, yellow, no, no.
octagon, octagon, no, balloon, green, no, no.
octagon, octagon, no, flag, red, yes, no.
octagon, octagon, no, flag, green, no, no.
octagon, octagon, no, flag, blue, no, no.
