161, peugot, diesel, turbo, four, sedan, rwd, front, 107.9, 186.7, 68.4, 56.7, 3252, l, four, 152, idi, 3.7, 3.52, 21, 95, 4150, 28, 33, 16900, 0.
91, toyota, gas, std, four, sedan, fwd, front, 95.7, 166.3, 64.4, 53, 2081, ohc, four, 98, 2bbl, 3.19, 3.03, 9, 70, 4800, 30, 37, 6938, 0.
83, subaru, gas, std, two, hatchback, 4wd, front, 93.3, 157.3, 63.8, 55.7, 2240, ohcf, four, 108, 2bbl, 3.62, 2.64, 8.7, 73, 4400, 26, 31, 7603, 2.
110, honda, gas, std, four, sedan, fwd, front, 96.5, 163.4, 64, 54.5, 2010, ohc, four, 92, 1bbl, 2.91, 3.41, 9.2, 76, 6000, 30, 34, 7295, 0.
110, dodge, gas, std, four, wagon, fwd, front, 103.3, 174.6, 64.6, 59.8, 2535, ohc, four, 122, 2bbl, 3.34, 3.46, 8.5, 88, 5000, 24, 30, 8921, -1.
164, audi, gas, std, four, sedan, fwd, front, 99.8, 176.6, 66.2, 54.3, 2337, ohc, four, 109, mpfi, 3.19, 3.4, 10, 102, 5500, 24, 30, 13950, 2.
158, audi, gas, turbo, four, sedan, fwd, front, 105.8, 192.7, 71.4, 55.9, 3086, ohc, five, 131, mpfi, 3.13, 3.4, 8.3, 140, 5500, 17, 20, 23875, 1.
95, volvo, gas, turbo, four, sedan, rwd, front, 109.1, 188.8, 68.8, 55.5, 3049, ohc, four, 141, mpfi, 3.78, 3.15, 8.7, 160, 5300, 19, 25, 19045, -1.
87, toyota, gas, std, two, hatchback, fwd, front, 95.7, 158.7, 63.6, 54.5, 1985, ohc, four, 92, 2bbl, 3.05, 3.03, 9, 62, 4800, 35, 39, 5348, 1.
128, nissan, gas, std, four, sedan, fwd, front, 100.4, 181.7, 66.5, 55.1, 3095, ohcv, six, 181, mpfi, 3.43, 3.27, 9, 152, 5200, 17, 22, 13499, 0.
129, mazda, gas, std, two, hatchback, fwd, front, 98.8, 177.8, 66.5, 53.7, 2385, ohc, four, 122, 2bbl, 3.39, 3.39, 8.6, 84, 4800, 26, 32, 10595, 1.
65, toyota, gas, std, four, hatchback, fwd, front, 102.4, 175.6, 66.5, 53.9, 2414, ohc, four, 122, mpfi, 3.31, 3.54, 8.7, 92, 4200, 27, 32, 9988, -1.
197, toyota, gas, std, two, hatchback, rwd, front, 102.9, 183.5, 67.7, 52, 3016, dohc, six, 171, mpfi, 3.27, 3.35, 9.3, 161, 5200, 19, 24, 15998, 3.
106, honda, gas, std, two, hatchback, fwd, front, 96.5, 167.5, 65.2, 53.3, 2289, ohc, four, 110, 1bbl, 3.15, 3.58, 9, 86, 5800, 27, 33, 9095, 0.
101, honda, gas, std, two, hatchback, fwd, front, 93.7, 150, 64, 52.6, 1837, ohc, four, 79, 1bbl, 2.91, 3.07, 10.1, 60, 5500, 38, 42, 5399, 1.
102, subaru, gas, std, four, sedan, fwd, front, 97.2, 172, 65.4, 52.5, 2145, ohcf, four, 108, 2bbl, 3.62, 2.64, 9.5, 82, 4800, 32, 37, 7126, 0.
95, volvo, gas, std, four, sedan, rwd, front, 109.1, 188.8, 68.9, 55.5, 2952, ohc, four, 141, mpfi, 3.78, 3.15, 9.5, 114, 5400, 23, 28, 16845, -1.
65, toyota, gas, std, four, hatchback, fwd, front, 102.4, 175.6, 66.5, 53.9, 2458, ohc, four, 122, mpfi, 3.31, 3.54, 8.7, 92, 4200, 27, 32, 11248, -1.
134, toyota, gas, std, two, hatchback, rwd, front, 98.4, 176.2, 65.6, 52, 2551, ohc, four, 146, mpfi, 3.62, 3.5, 9.3, 116, 4800, 24, 30, 9989, 2.
74, plymouth, gas, std, four, wagon, fwd, front, 103.3, 174.6, 64.6, 59.8, 2535, ohc, four, 122, 2bbl, 3.35, 3.46, 8.5, 88, 5000, 24, 30, 8921, -1.
103, volvo, gas, std, four, sedan, rwd, front, 104.3, 188.8, 67.2, 56.2, 2935, ohc, four, 141, mpfi, 3.78, 3.15, 9.5, 114, 5400, 24, 28, 15985, -2.
153, mitsubishi, gas, turbo, two, hatchback, fwd, front, 96.3, 173, 65.4, 49.4, 2370, ohc, four, 110, spdi, 3.17, 3.46, 7.5, 116, 5500, 23, 30, 9959, 3.
122, volkswagen, diesel, std, two, sedan, fwd, front, 97.3, 171.7, 65.5, 55.7, 2261, ohc, four, 97, idi, 3.01, 3.4, 23, 52, 4800, 37, 46, 7775, 2.
102, subaru, gas, std, four, sedan, fwd, front, 97.2, 172, 65.4, 52.5, 2190, ohcf, four, 108, 2bbl, 3.62, 2.64, 9.5, 82, 4400, 28, 33, 7775, 0.
197, toyota, gas, std, two, hatchback, rwd, front, 102.9, 183.5, 67.7, 52, 2976, dohc, six, 171, mpfi, 3.27, 3.35, 9.3, 161, 5200, 20, 24, 16558, 3.
134, toyota, gas, std, two, hatchback, rwd, front, 98.4, 176.2, 65.6, 52, 2714, ohc, four, 146, mpfi, 3.62, 3.5, 9.3, 116, 4800, 24, 30, 11549, 2.
128, nissan, gas, std, two, sedan, fwd, front, 94.5, 165.3, 63.8, 54.5, 1951, ohc, four, 97, 2bbl, 3.15, 3.29, 9.4, 69, 5200, 31, 37, 7299, 1.
145, dodge, gas, turbo, two, hatchback, fwd, front, 95.9, 173.2, 66.3, 50.2, 2811, ohc, four, 156, mfi, 3.6, 3.9, 7, 145, 5000, 19, 24, 12964, 3.
186, porsche, gas, std, two, hatchback, rwd, front, 94.5, 168.9, 68.3, 50.2, 2778, ohc, four, 151, mpfi, 3.94, 3.11, 9.5, 143, 5500, 19, 27, 22018, 3.
161, mitsubishi, gas, turbo, two, hatchback, fwd, front, 93, 157.3, 63.8, 50.8, 2145, ohc, four, 98, spdi, 3.03, 3.39, 7.6, 102, 5500, 24, 30, 7689, 1.
78, honda, gas, std, four, wagon, fwd, front, 96.5, 157.1, 63.9, 58.3, 2024, ohc, four, 92, 1bbl, 2.92, 3.41, 9.2, 76, 6000, 30, 34, 7295, 0.
87, toyota, gas, std, two, hatchback, fwd, front, 95.7, 158.7, 63.6, 54.5, 2040, ohc, four, 92, 2bbl, 3.05, 3.03, 9, 62, 4800, 31, 38, 6338, 1.
168, toyota, gas, std, two, hatchback, rwd, front, 94.5, 168.7, 64, 52.6, 2204, ohc, four, 98, 2bbl, 3.19, 3.03, 9, 70, 4800, 29, 34, 8238, 1.
74, toyota, gas, std, four, hatchback, fwd, front, 95.7, 158.7, 63.6, 54.5, 2015, ohc, four, 92, 2bbl, 3.05, 3.03, 9, 62, 4800, 31, 38, 6488, 1.
168, toyota, gas, std, two, sedan, rwd, front, 94.5, 168.7, 64, 52.6, 2265, dohc, four, 98, mpfi, 3.24, 3.08, 9.4, 112, 6600, 26, 29, 9298, 1.
