frontpage,news,tech,local,opinion,on_air,misc,weather,msn_news,health,living,business,msn_sports,sports,summary,bbs,travel
0,0,1,2,1,1,0,0,1,3,0,0,0,0,0,0,0
0,0,0,1,0,0,7,0,0,0,0,0,8,1,0,0,0
5,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
0,0,1,0,0,1,2,0,3,1,0,2,1,1,0,0,0
1,1,0,1,0,0,1,0,0,4,0,1,0,0,0,0,0
5,1,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0
3,8,2,2,2,8,11,2,0,2,2,2,0,8,2,2,0
0,0,7,0,0,6,0,12,19,0,1,6,13,3,0,0,0
2,4,1,0,1,4,1,1,0,1,1,1,0,1,2,0,0
5,2,2,0,0,1,1,0,0,0,0,0,0,0,2,0,0
0,0,0,3,0,2,1,0,2,0,1,0,0,0,2,0,0
6,4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
1,4,0,0,0,5,4,0,0,7,1,2,0,0,0,0,0
5,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0
4,1,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0
0,3,0,8,0,1,8,1,1,0,4,0,0,0,0,0,2
4,1,0,0,2,1,1,0,0,1,2,1,0,3,0,0,0
6,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,1,1,5,0,0,0,0,1,0,0,0
2,2,0,2,0,0,3,0,2,0,0,0,0,0,0,0,0
0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,5,3,0,0,1,0,0,0,0,0,0,0
1,0,0,3,0,2,1,0,1,1,0,0,0,0,0,0,0
1,1,0,4,0,0,4,1,1,2,0,0,0,1,0,0,0
4,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0
1,4,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0
0,0,0,4,0,0,4,0,0,0,0,0,1,0,0,0,0
1,0,0,0,0,0,1,0,2,0,3,0,0,0,0,0,2
5,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
7,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0
3,1,0,0,0,1,2,0,0,0,1,3,0,0,0,0,0
5,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,0,1,0,2,2,0,0,3,0,0,0,0,0,0,0
6,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
0,1,3,0,1,2,0,0,0,2,0,0,0,0,0,0,1
1,2,1,0,0,2,2,0,0,5,0,1,0,0,0,0,0
2,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
1,2,0,3,1,1,3,0,0,1,1,0,0,0,0,0,0
6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0,1,0,1,3,0,0,0,0,0,0,1,0,0,1
0,3,0,7,0,0,5,0,0,2,0,0,0,0,0,0,0
3,4,0,0,1,1,1,0,0,0,2,0,0,1,0,0,0
2,2,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0
6,0,1,1,0,0,0,1,0,0,0,5,0,0,0,0,0
1,0,0,0,0,3,0,0,0,2,1,2,0,0,0,0,0
0,5,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
3,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1
0,0,0,3,0,0,2,2,2,0,0,0,0,0,0,0,0
1,0,0,0,0,3,1,0,0,0,0,0,0,1,3,0,0
1,0,0,6,0,0,7,0,1,0,0,0,0,0,0,0,0
9,2,2,2,0,0,0,0,0,1,0,1,0,0,0,0,0
0,0,0,0,0,0,2,0,0,0,0,0,6,4,0,0,0
3,1,1,2,0,0,0,0,0,0,3,0,0,0,0,0,0
0,1,1,1,1,1,0,0,0,2,0,1,0,0,7,0,0
3,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0
0,2,0,0,2,0,0,0,4,0,0,1,0,0,0,0,0
4,0,3,0,0,2,0,0,0,0,0,0,0,0,1,0,0
5,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0
5,2,0,1,0,2,2,0,0,0,0,0,0,1,0,0,1
2,0,0,0,1,1,1,0,0,0,2,0,0,2,0,0,0
3,1,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0
4,2,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0
1,0,1,3,0,1,0,0,0,0,0,0,1,2,0,0,0
5,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1,5,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0
1,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0
0,2,0,4,0,4,5,0,0,0,0,0,0,0,1,0,0
3,2,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0
5,0,0,0,0,0,3,0,0,1,0,0,0,1,0,0,0
7,1,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0
0,0,0,3,0,0,2,0,0,0,1,0,2,2,0,0,0
0,2,0,0,2,5,1,0,0,1,1,0,0,0,9,0,0
3,1,0,3,0,1,0,0,0,2,0,1,0,0,0,0,0
5,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
7,1,0,1,0,2,0,0,0,1,1,0,0,0,0,0,0
12,14,0,6,0,3,6,0,0,0,3,0,0,0,0,0,0
0,1,0,0,1,1,2,0,0,1,0,1,0,0,2,0,0
7,1,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0
3,3,0,0,1,1,1,0,4,0,0,0,0,0,0,0,0
2,5,3,1,2,1,1,4,2,1,1,5,3,3,3,0,0
7,2,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0
0,1,1,0,0,2,0,0,0,0,0,0,0,2,2,2,0
