zeit;1-A001-SW-HF-099-429;2-A001-SW-HF-099-1672;3-A001-SW-HF-100-449;4-A001-SW-HF-100-612;5-A001-SW-HF-100-1719;6-A001-SW-HF-101-723;8-A001-SW-HF-101-3932;9-A001-SW-HF-102-14;11-A001-SW-HF-102-2141;14-A001-SW-HF-103-764;16-A001-SW-HF-103-2822;17-A001-SW-HF-103-3539;19-A004-NO-HF-011-96;20-A004-NO-HF-011-2225;21-A004-NO-HF-011-3247;22-A004-NO-HF-011-4211;23-A004-NO-HF-011-5316;24-A004-NO-HF-S11-400;25-A004-NO-HF-012-107;26-A004-NO-HF-012-1997;27-A004-NO-HF-012-2663;28-A004-NO-HF-013-989;29-A004-NO-HF-013-2589;30-A004-NO-HF-014-432;31-A004-NO-HF-014-1783;32-A004-NO-HF-015-979;33-A004-NO-HF-015-2176;34-A003-NO-HF-027-1379;35-A003-NO-HF-027-2246;36-A003-NO-HF-026-435;38-A003-NO-HF-026-1600;39-A003-NO-HF-025-852;40-A003-NO-HF-025-1808;41-A003-NO-HF-024-786;42-A003-NO-HF-024-930;44-A003-NO-HF-024-2873;45-A003-NO-HF-024-4199;46-A003-NO-HF-023-476;47-A003-NO-HF-023-1778
26.08.2014 00:00:00+00;3;2;4;5;3;3;2;2;2;1;1;1;5;5;8;7;7;6;5;8;8;10;10;8;7;8;6;21;15;16;15;15;14;17;12;13;17;13;15
26.08.2014 00:01:00+00;3;1;3;4;3;4;3;5;4;3;3;2;4;4;6;5;8;6;6;8;8;11;9;9;9;9;6;20;15;19;16;15;13;14;16;15;13;13;15
26.08.2014 00:02:00+00;3;1;5;3;3;3;5;4;5;4;5;3;6;5;6;5;4;4;7;8;8;9;10;9;8;8;6;14;16;19;16;15;16;13;15;15;12;16;10
26.08.2014 00:03:00+00;3;1;4;4;2;2;4;3;4;5;5;5;7;7;8;4;4;3;6;5;5;9;7;10;8;8;5;13;14;18;15;16;16;13;16;17;14;16;13
26.08.2014 00:04:00+00;3;2;4;5;4;3;3;2;4;4;4;5;6;7;9;6;4;4;4;4;5;8;8;8;9;8;4;15;13;15;12;14;16;17;13;15;14;15;13
26.08.2014 00:05:00+00;3;1;5;4;4;5;2;4;2;3;3;3;5;5;8;6;5;5;3;5;4;5;5;8;8;7;6;15;13;16;11;10;13;16;11;14;14;13;16
26.08.2014 00:06:00+00;3;1;3;4;3;4;5;5;4;3;3;3;3;4;7;6;6;6;3;6;6;6;6;6;7;5;4;14;12;14;13;9;8;14;11;12;15;13;12
26.08.2014 00:07:00+00;3;1;4;3;3;4;4;4;3;4;3;2;5;6;7;4;7;5;4;6;6;7;6;5;5;4;5;15;11;13;15;13;11;10;10;10;12;12;11
26.08.2014 00:08:00+00;3;0;3;4;1;2;4;3;4;3;3;3;7;8;7;4;4;3;6;7;7;9;7;6;4;4;4;14;10;12;13;13;11;9;12;11;12;10;11
26.08.2014 00:09:00+00;3;1;4;3;3;4;3;4;2;4;3;3;8;8;9;5;4;5;6;5;5;9;7;7;5;5;5;16;9;13;15;13;12;10;12;14;9;12;10
26.08.2014 00:10:00+00;2;1;4;5;3;4;3;4;3;2;3;2;8;6;9;8;6;7;5;5;5;7;9;8;3;5;5;15;12;17;12;12;14;13;12;13;11;14;10
26.08.2014 00:11:00+00;2;1;4;4;4;4;4;4;4;2;4;2;7;7;10;8;9;7;3;6;6;6;6;7;4;6;4;17;14;16;14;12;13;14;12;14;12;12;10
26.08.2014 00:12:00+00;2;0;3;4;3;3;3;4;5;5;5;3;7;7;9;7;8;7;6;8;8;7;6;8;5;4;4;14;13;15;14;13;14;15;12;11;11;14;11
26.08.2014 00:13:00+00;2;0;3;3;2;4;4;4;5;5;4;4;7;9;8;8;9;6;6;8;8;9;7;6;6;5;3;16;12;12;15;14;14;13;12;14;13;12;10
26.08.2014 00:14:00+00;1;0;2;3;2;3;3;4;3;4;3;5;7;7;9;8;8;7;7;9;8;8;8;8;7;5;3;17;10;12;15;14;13;13;14;13;11;13;11
26.08.2014 00:15:00+00;2;1;2;2;2;3;3;3;2;3;2;4;7;9;8;8;8;7;7;8;9;8;8;7;6;5;4;16;9;12;17;15;14;13;14;14;13;14;13
26.08.2014 00:16:00+00;3;1;2;2;2;2;3;4;3;3;4;3;8;7;11;8;8;7;8;11;9;9;8;7;6;4;5;16;10;14;16;15;15;14;16;17;15;14;14
26.08.2014 00:17:00+00;3;2;3;1;1;2;3;2;5;3;3;2;8;9;10;9;7;8;9;8;7;10;8;9;3;5;6;15;12;15;16;15;15;14;16;17;14;14;13
26.08.2014 00:18:00+00;3;1;3;3;1;2;2;3;5;4;4;3;7;6;12;7;7;7;8;8;8;9;9;9;4;5;6;14;13;16;13;14;17;16;17;16;16;15;12
